Timestamp,real_rpm,rpm_set,real_rpm,rpm_set
6924000,211,210,211,210
6936000,228,210,228,210
6948000,210,210,210,210
6960000,212,210,219,210
6974000,216,210,216,210
6986000,207,210,207,210
6998000,213,210,213,210
7011000,206,210,203,210
7024000,195,210,195,210
7036000,202,210,202,210
7048000,203,210,203,210
7061000,227,210,227,210
7074000,216,210,210,210
7087000,214,210,214,210
7100000,211,210,211,210
7112000,209,210,210,210
7125000,215,210,215,210
7137000,211,210,211,210
7149000,203,210,201,210
7162000,199,210,197,210
7175000,189,210,189,210
7189000,211,210,217,210
7202000,210,210,207,210
7215000,210,210,210,210
7228000,216,210,216,210
7241000,213,210,211,210
7254000,210,210,211,210
7267000,206,210,204,210
7280000,211,210,211,210
7293000,208,210,208,210
7306000,199,210,199,210
7319000,202,210,202,210
7332000,203,210,203,210
7345000,220,210,223,210
7358000,220,210,220,210
7371000,213,210,214,210
7384000,211,210,211,210
7396000,209,210,209,210
7408000,220,210,220,210
7420000,216,210,213,210
7433000,206,210,206,210
7446000,201,210,199,210
7459000,190,210,190,210
7472000,210,210,214,210
7485000,210,210,210,210
7498000,209,210,209,210
7511000,221,210,217,210
7524000,214,210,211,210
7536000,216,210,210,210
7548000,213,210,208,210
7561000,211,210,211,210
7574000,206,210,206,210
7586000,198,210,197,210
7599000,196,210,196,210
7611000,196,210,196,210
7623000,213,210,213,210
7636000,231,210,228,210
7649000,211,210,216,210
7662000,226,210,222,210
7675000,212,210,211,210
7688000,224,210,224,210
7700000,222,210,216,210
7713000,206,210,211,210
7726000,203,210,204,210
7740000,195,210,192,210
7753000,196,210,203,210
7766000,212,210,210,210
7779000,211,210,211,210
7792000,228,210,228,210
7805000,208,210,214,210
7817000,221,210,222,210
7829000,216,210,213,210
7842000,209,210,209,210
7854000,214,210,214,210
7866000,204,210,204,210
7879000,195,210,192,210
7893000,195,210,195,210
7906000,212,210,212,210
7918000,238,210,238,210
7931000,212,210,212,210
7944000,226,210,229,210
7957000,212,210,212,210
7969000,210,210,210,210
7982000,219,210,224,210
7994000,208,210,208,210
8007000,200,210,200,210
8020000,198,210,197,210
8032000,194,210,194,210
8045000,219,210,219,210
8059000,208,210,206,210
8072000,211,210,228,210
8086000,210,210,210,210
8098000,212,210,217,210
8111000,214,210,214,210
8125000,207,210,207,210
8138000,211,210,213,210
8151000,199,210,199,210
8164000,192,210,193,210
8177000,196,210,196,210
8189000,208,210,208,210
8202000,235,210,235,210
8215000,211,210,211,210
8228000,221,210,228,210
8241000,211,210,211,210
8254000,210,210,218,210
8266000,215,210,223,210
8279000,208,210,207,210
8292000,201,210,201,210
8305000,198,210,197,210
8318000,194,210,195,210
8331000,220,210,220,210
8344000,207,210,207,210
8357000,211,210,223,210
8370000,214,210,214,210
8383000,212,210,214,210
8396000,216,210,216,210
8409000,205,210,207,210
8423000,212,210,213,210
8436000,202,210,202,210
8449000,193,210,193,210
8461000,197,210,197,210
8474000,205,210,214,210
8487000,237,210,237,210
8500000,212,210,212,210
8513000,217,210,228,210
8526000,211,210,211,210
8539000,211,210,215,210
8551000,215,210,222,210
8563000,209,210,209,210
8576000,202,210,202,210
8590000,197,210,196,210
8603000,194,210,194,210
8615000,219,210,219,210
8628000,205,210,205,210
8641000,212,210,216,210
8653000,215,210,213,210
8665000,213,210,211,210
8678000,211,210,213,210
8691000,205,210,204,210
8704000,212,210,212,210
8717000,207,210,204,210
8730000,197,210,197,210
8743000,199,210,199,210
8756000,202,210,202,210
8768000,218,210,218,210
8781000,220,210,219,210
8794000,214,210,214,210
8806000,214,210,214,210
8818000,210,210,207,210
8831000,215,210,215,210
8844000,215,210,209,210
8857000,203,210,203,210
8870000,199,210,199,210
8882000,189,210,189,210
8894000,205,210,205,210
8906000,211,210,212,210
8919000,211,210,211,210
8932000,224,210,219,210
8945000,214,210,214,210
8957000,221,210,221,210
8971000,211,210,211,210
8984000,214,210,214,210
8996000,212,210,212,210
9008000,199,210,199,210
9021000,195,210,195,210
9035000,199,210,199,210
9047000,215,210,215,210
9060000,232,210,230,210
9073000,214,210,214,210
9086000,226,210,219,210
9099000,214,210,214,210
9112000,225,210,225,210
9125000,216,210,216,210
9137000,208,210,211,210
9149000,202,210,203,210
9164000,195,210,192,210
9177000,197,210,205,210
9190000,213,210,210,210
9204000,209,210,209,210
9216000,225,210,224,210
9229000,214,210,214,210
9242000,222,210,217,210
9255000,212,210,212,210
9269000,215,210,215,210
9282000,207,210,207,210
9295000,197,210,197,210
9308000,196,210,198,210
9321000,197,210,200,210
9334000,216,210,220,210
9347000,231,210,225,210
9360000,211,210,211,210
9373000,221,210,217,210
9386000,212,210,209,210
9399000,224,210,223,210
9412000,216,210,216,210
9425000,211,210,209,210
9438000,202,210,202,210
9450000,192,210,191,210
9463000,203,210,208,210
9476000,212,210,210,210
9488000,212,210,209,210
9500000,230,210,223,210
9513000,214,210,214,210
9526000,221,210,220,210
9539000,213,210,213,210
9551000,216,210,216,210
9565000,215,210,213,210
9578000,199,210,199,210
9590000,195,210,195,210
9602000,197,210,196,210
9615000,214,210,214,210
9629000,230,210,230,210
9642000,215,210,215,210
9656000,226,210,216,210
9668000,214,210,214,210
9681000,222,210,222,210
9694000,220,210,215,210
9707000,208,210,209,210
9720000,202,210,202,210
9733000,194,210,192,210
9746000,196,210,206,210
9759000,212,210,212,210
9773000,211,210,211,210
9785000,230,210,223,210
9797000,210,210,210,210
9810000,221,210,221,210
9823000,213,210,213,210
9836000,209,210,209,210
9848000,214,210,214,210
9861000,199,210,198,210
9873000,193,210,193,210
9885000,196,210,196,210
9897000,207,210,207,210
9911000,237,210,237,210
9925000,212,210,214,210
9939000,227,210,227,210
9952000,212,210,212,210
9964000,217,210,217,210
9977000,224,210,224,210
9990000,208,210,208,210
10003000,202,210,203,210
10016000,196,210,196,210
10029000,195,210,197,210
10042000,214,210,214,210
10055000,208,210,211,210
10067000,233,210,233,210
10080000,211,210,211,210
10093000,222,210,222,210
10107000,214,210,214,210
10120000,209,210,213,210
10133000,214,210,214,210
10146000,197,210,197,210
10159000,194,210,194,210
10172000,194,210,197,210
10185000,213,210,213,210
10198000,235,210,231,210
10211000,212,210,215,210
10224000,227,210,221,210
10238000,211,210,211,210
10251000,223,210,223,210
10263000,223,210,217,210
10276000,210,210,211,210
10289000,201,210,203,210
10302000,196,210,196,210
10314000,196,210,201,210
